CustomerID,Total_Revenue,Total_Orders,Total_Quantity,Segment
12540,3985.1668400000003,32,310,High Value
12551,1391.76676,9,17,Medium Value
12553,1629.4353600000002,14,91,Medium Value
12557,318.57328,4,10,Low Value
12559,2867.9509000000003,11,136,Medium Value
12567,11225.26317,71,519,High Value
12574,1600.5944000000002,5,190,Medium Value
12577,5291.15856,33,976,High Value
12578,5507.487360000001,40,116,High Value
12583,2987.77264,15,155,Medium Value
12585,4484.0985200000005,26,212,High Value
12586,22.185739999999996,1,1,Low Value
12591,4199.722,21,158,High Value
12594,721.74819,5,131,Low Value
12600,720.03318,8,16,Low Value
12601,555.9315200000001,4,9,Low Value
12605,299.45178000000004,2,3,Low Value
12609,432.7827,4,19,Low Value
12621,2487.74628,20,117,Medium Value
12625,6359.19876,24,186,High Value
12626,4873.87326,34,582,High Value
12637,3871.3724899999997,26,125,High Value
12643,69.38576,1,2,Low Value
12645,2240.4487200000003,8,77,Medium Value
12647,3634.7932600000004,28,216,High Value
12649,28.15708,1,2,Low Value
12651,2230.96032,7,255,Medium Value
12652,2811.89566,26,169,Medium Value
12662,3110.89493,16,148,High Value
12664,768.7543800000001,5,5,Low Value
12665,113.20679999999999,2,17,Low Value
12666,43.37147999999999,2,2,Low Value
12668,6352.7546600000005,38,214,High Value
12672,291.3256,3,10,Low Value
12673,1487.63402,11,35,Medium Value
12676,1114.74175,10,13,Medium Value
12678,230.90673000000004,3,6,Low Value
12681,15897.679610000001,88,504,High Value
12682,11971.42915,68,230,High Value
12683,9953.68291,38,744,High Value
12686,1029.95996,6,9,Medium Value
12691,1229.8978000000002,8,19,Medium Value
12693,1706.5416600000003,4,17,Medium Value
12705,1463.3825100000001,13,36,Medium Value
12708,2618.97958,21,170,Medium Value
12709,2895.0380800000003,16,200,Medium Value
12712,3467.1959,27,65,High Value
12720,6205.7496,26,225,High Value
12721,2141.7719700000002,10,144,Medium Value
12724,534.8224,7,13,Low Value
12725,4578.1124,14,795,High Value
12726,1802.12502,16,42,Medium Value
12727,964.2629800000001,8,15,Low Value
12728,594.29088,7,87,Low Value
12731,11814.62346,38,1121,High Value
12734,108.76361999999999,2,5,Low Value
12735,3026.8808900000004,18,65,Medium Value
12736,157.9064,1,25,Low Value
12738,1835.25502,8,17,Medium Value
12744,10402.66408,34,366,High Value
12747,1511.21776,10,211,Medium Value
12748,78753.89421,328,4869,High Value
12753,2346.9348800000002,20,136,Medium Value
12754,3210.5303,17,66,High Value
12755,59.578759999999996,1,2,Low Value
12763,940.1717,8,39,Low Value
12764,5122.936640000001,28,217,High Value
12766,4641.5804800000005,28,158,High Value
12775,1140.59428,7,29,Medium Value
12778,492.76133999999996,3,10,Low Value
12779,2165.47232,15,98,Medium Value
12782,4114.39315,32,172,High Value
12785,865.1099100000001,8,17,Low Value
12791,153.15916,2,2,Low Value
12793,2289.4348,11,61,Medium Value
12797,464.25558000000007,7,18,Low Value
12808,484.04678,5,105,Low Value
12820,600.3023400000001,5,107,Low Value
12826,6716.3846,31,313,High Value
12829,932.1547,6,18,Low Value
12836,2704.2301199999997,19,227,Medium Value
12838,5560.27124,28,483,High Value
12839,3351.10057,23,107,High Value
12841,11601.271260000001,49,376,High Value
12842,2243.49745,9,18,Medium Value
12853,1854.39947,12,43,Medium Value
12854,4677.79788,23,46,High Value
12855,900.9267,3,7,Low Value
12865,189.26000000000002,1,2,Low Value
12867,3283.41974,24,307,High Value
12868,5575.99864,19,101,High Value
12870,65.0873,1,2,Low Value
12872,4488.95722,31,290,High Value
12875,7.056,1,1,Low Value
12877,1230.50401,11,19,Medium Value
12908,213.64000000000001,1,2,Low Value
12913,82.57288,2,4,Low Value
12915,1208.93444,7,37,Medium Value
12916,4233.48856,19,178,High Value
12921,5937.897080000001,30,394,High Value
12924,24.588009999999997,1,3,Low Value
12928,346.43787999999995,8,21,Low Value
12929,742.9946199999999,5,13,Low Value
12931,27.874039999999997,2,2,Low Value
12935,9013.21872,2,49,High Value
12939,246.63976,2,18,Low Value
12942,867.01715,7,36,Low Value
12944,1123.72294,7,42,Medium Value
12947,4819.4365,25,54,High Value
12951,975.6509000000001,6,28,Medium Value
12956,2426.63885,14,35,Medium Value
12957,1300.28898,13,70,Medium Value
12963,998.9469899999999,6,49,Medium Value
12967,1565.37982,10,23,Medium Value
12970,567.7338,2,52,Low Value
12971,4175.78732,31,150,High Value
12980,1135.91135,4,144,Medium Value
12989,172.7776,2,2,Low Value
12990,428.56425,2,4,Low Value
12997,856.6084800000001,7,89,Low Value
13000,934.5201700000001,8,12,Low Value
13001,2296.35832,23,137,Medium Value
13002,883.6959,5,9,Low Value
13004,5318.09108,37,234,High Value
13008,1737.7783,8,42,Medium Value
13011,245.94072,3,17,Low Value
13013,5314.0266,28,158,High Value
13021,1816.4497399999998,6,82,Medium Value
13027,344.3825,4,16,Low Value
13029,15.44055,1,1,Low Value
13030,2250.72438,16,226,Medium Value
13033,539.046,5,12,Low Value
13034,228.94272,4,39,Low Value
13047,2876.28679,26,175,Medium Value
13048,2828.76244,17,556,Medium Value
13049,266.15454,3,15,Low Value
13050,9792.58699,60,298,High Value
13064,201.42930999999996,1,11,Low Value
13065,1543.24306,7,27,Medium Value
13068,6.99,1,1,Low Value
13069,8111.23731,68,266,High Value
13077,1673.7508,4,148,Medium Value
13078,3731.36733,24,409,High Value
13081,21420.16586,117,1137,High Value
13082,1060.86138,6,9,Medium Value
13089,26221.73484,176,927,High Value
13090,1416.61526,9,34,Medium Value
13092,275.09245,4,8,Low Value
13093,11283.08763,65,612,High Value
13094,410.20744,4,26,Low Value
13097,3236.5837,18,280,High Value
13098,2188.23536,14,25,Medium Value
13102,8264.28298,54,169,High Value
13104,123.81000000000002,1,1,Low Value
13107,2606.33014,10,149,Medium Value
13108,570.85472,3,253,Low Value
13110,869.7915800000001,8,52,Low Value
13113,20767.64901,29,2494,High Value
13115,247.97344000000004,2,9,Low Value
13117,2249.5531300000002,12,89,Medium Value
13124,3789.87784,30,76,High Value
13126,2271.7521,18,73,Medium Value
13136,241.98876,3,3,Low Value
13137,6038.6502199999995,33,78,High Value
13138,1546.30882,7,21,Medium Value
13140,755.95366,4,36,Low Value
13141,3098.1191200000003,16,112,High Value
13144,48.19856,1,3,Low Value
13145,24.023,1,1,Low Value
13148,16676.05786,78,186,High Value
13155,5189.03855,38,164,High Value
13158,3539.7129000000004,16,67,High Value
13161,454.97552,2,9,Low Value
13162,3250.2767200000003,25,111,High Value
13165,886.26678,5,17,Low Value
13168,5475.4509800000005,36,753,High Value
13173,3077.8012599999997,15,151,High Value
13174,20447.96106,124,794,High Value
13178,1828.3230400000002,14,37,Medium Value
13183,1832.81672,11,48,Medium Value
13187,1307.96544,10,117,Medium Value
13198,5897.723840000001,39,132,High Value
13199,1665.93984,14,32,Medium Value
13208,2004.16894,13,97,Medium Value
13209,444.0487,10,26,Low Value
13211,67.27055999999999,1,2,Low Value
13221,2144.70813,19,136,Medium Value
13225,572.27852,5,52,Low Value
13230,10173.80689,42,396,High Value
13233,1255.2729600000002,8,21,Medium Value
13238,467.94696000000005,4,35,Low Value
13240,1555.1232200000002,15,49,Medium Value
13246,2277.55408,18,65,Medium Value
13253,565.10205,5,122,Low Value
13255,1309.09044,4,12,Medium Value
13263,2220.68527,18,175,Medium Value
13266,51.12642,1,3,Low Value
13267,14376.54036,26,1141,High Value
13269,2901.2089600000004,17,224,Medium Value
13270,84.71000000000002,1,1,Low Value
13280,7884.850640000001,39,220,High Value
13284,742.0548000000001,6,18,Low Value
13295,661.07456,5,71,Low Value
13304,785.6132400000001,3,29,Low Value
13305,497.62693,3,7,Low Value
13309,3534.54532,22,51,High Value
13310,1847.65114,12,138,Medium Value
13313,517.5003,3,21,Low Value
13317,1107.90844,8,47,Medium Value
13319,6907.663280000001,42,277,High Value
13324,2332.05912,7,103,Medium Value
13327,936.96172,8,28,Low Value
13328,2147.05184,10,41,Medium Value
13329,509.92394,5,10,Low Value
13330,1217.06336,7,50,Medium Value
13368,151.2435,1,35,Low Value
13369,1741.7361200000003,11,25,Medium Value
13370,3329.90968,23,129,High Value
13385,3164.91816,15,199,High Value
13394,1042.82058,10,20,Medium Value
13396,2378.7017400000004,10,26,Medium Value
13397,569.5780800000001,4,10,Low Value
13402,1509.96388,9,57,Medium Value
13405,311.89878000000004,3,8,Low Value
13408,8554.434870000001,42,1040,High Value
13418,3926.91984,24,96,High Value
13426,1039.04676,12,101,Medium Value
13448,2653.9134400000003,22,240,Medium Value
13451,1812.50424,13,53,Medium Value
13455,3258.6386500000003,19,93,High Value
13458,3828.70163,29,198,High Value
13468,8220.77514,38,1153,High Value
13473,568.20992,3,83,Low Value
13481,14.7928,1,1,Low Value
13487,380.59002,3,14,Low Value
13488,10467.48775,76,719,High Value
13491,4167.00591,22,144,High Value
13494,979.42913,10,24,Medium Value
13495,1699.9669000000001,12,40,Medium Value
13496,1331.62864,11,142,Medium Value
13497,802.19108,8,24,Low Value
13502,115.42854,1,13,Low Value
13506,3545.7810200000004,21,106,High Value
13520,3094.26566,20,69,High Value
13523,1763.4273900000003,12,36,Medium Value
13527,64.56165999999999,1,6,Low Value
13531,6995.54292,4,199,High Value
13534,3751.00939,23,246,High Value
13538,34.58608,1,3,Low Value
13539,984.15383,8,12,Medium Value
13551,1015.0567800000001,3,5,Medium Value
13552,294.42416000000003,3,40,Low Value
13564,7289.16669,40,205,High Value
13565,909.3280800000001,8,15,Low Value
13569,1631.55293,10,134,Medium Value
13576,2088.9089,15,226,Medium Value
13579,431.40694,5,9,Low Value
13581,752.9832700000001,5,15,Low Value
13584,2368.27637,16,35,Medium Value
13593,2526.2536,12,171,Medium Value
13599,1703.98227,17,32,Medium Value
13600,2214.33839,13,23,Medium Value
13606,295.96221,3,4,Low Value
13611,961.2864099999999,4,133,Low Value
13614,555.09776,6,31,Low Value
13615,2068.2271600000004,12,232,Medium Value
13627,1582.6145,14,62,Medium Value
13629,889.8865900000001,5,14,Low Value
13634,1092.3295899999998,9,208,Medium Value
13649,727.95631,6,59,Low Value
13652,448.88679999999994,5,20,Low Value
13656,2263.39626,9,68,Medium Value
13659,4543.32769,32,113,High Value
13668,4199.59954,31,113,High Value
13672,246.40016000000003,3,8,Low Value
13680,6515.724920000001,44,299,High Value
13693,55.35478,1,10,Low Value
13694,5465.07953,37,152,High Value
13700,1197.7717499999999,14,110,Medium Value
13703,255.61000000000004,1,2,Low Value
13705,1331.10506,7,16,Medium Value
13707,3849.18584,23,272,High Value
13709,2522.9265600000003,19,471,Medium Value
13715,7580.924120000001,48,272,High Value
13725,3875.48772,30,50,High Value
13728,790.4326100000001,5,19,Low Value
13742,9044.320660000001,42,500,High Value
13747,158.6729,1,1,Low Value
13748,7.81688,1,1,Low Value
13750,8.63376,1,1,Low Value
13754,908.52232,5,89,Low Value
13756,1403.70682,8,46,Medium Value
13758,2274.2009,18,60,Medium Value
13764,4417.180740000001,29,98,High Value
13767,6016.83073,37,206,High Value
13769,2933.00117,21,100,Medium Value
13777,6490.537560000001,47,80,High Value
13782,2769.7121700000002,22,80,Medium Value
13784,269.37328,4,6,Low Value
13786,508.20476999999994,2,29,Low Value
13787,376.04592,5,8,Low Value
13798,10302.69635,67,348,High Value
13800,2772.64588,23,60,Medium Value
13802,1128.85444,11,48,Medium Value
13807,1026.69348,4,12,Medium Value
13815,8353.18956,31,85,High Value
13817,183.41964000000002,2,10,Low Value
13819,2985.9175400000004,15,150,Medium Value
13824,736.56248,9,12,Low Value
13829,20.033739999999998,1,1,Low Value
13831,290.33456,2,3,Low Value
13837,1173.1874400000002,5,120,Medium Value
13838,6098.280320000001,35,185,High Value
13842,6513.061540000001,18,562,High Value
13846,1168.28178,8,210,Medium Value
13848,132.38150000000002,1,15,Low Value
13854,2815.2392400000003,24,144,Medium Value
13859,2035.69225,16,72,Medium Value
13862,3167.88824,18,84,High Value
13869,11074.0473,40,729,High Value
13871,2702.07427,16,33,Medium Value
13873,335.98028,3,7,Low Value
13874,860.68441,10,81,Low Value
13880,986.743,5,27,Medium Value
13881,1661.55956,7,25,Medium Value
13883,34.91,1,10,Low Value
13890,1369.88468,8,141,Medium Value
13894,650.6081800000001,6,11,Low Value
13898,335.17186,2,122,Low Value
13901,759.3011200000001,8,22,Low Value
13911,2573.51416,14,131,Medium Value
13922,368.18522,3,27,Low Value
13929,2213.1935399999998,2,157,Medium Value
13939,1168.01117,10,14,Medium Value
13941,975.09748,9,17,Medium Value
13948,147.76608000000002,2,3,Low Value
13953,13.6464,1,1,Low Value
13958,492.32529999999997,4,5,Low Value
13959,989.20432,7,30,Medium Value
13963,4853.781919999999,16,371,High Value
13969,3396.2284200000004,18,251,High Value
13982,4014.0444800000005,30,180,High Value
13983,9003.94668,18,561,High Value
13984,157.8905,4,11,Low Value
13993,537.36752,3,25,Low Value
13999,3104.26162,20,45,High Value
14001,1182.0972000000002,6,63,Medium Value
14006,584.94368,4,12,Low Value
14016,1490.45339,16,53,Medium Value
14030,4974.815920000001,17,322,High Value
14031,3379.9943000000003,21,160,High Value
14032,3626.01404,19,239,High Value
14037,1635.71334,16,71,Medium Value
14040,7694.52832,38,333,High Value
14044,6102.0871099999995,45,72,High Value
14045,165.54782,4,8,Low Value
14047,379.66346,4,97,Low Value
14049,11716.79764,57,271,High Value
14051,3768.19354,24,77,High Value
14057,3205.2800800000005,23,132,High Value
14060,4081.7180500000004,25,346,High Value
14062,4832.102080000001,33,232,High Value
14068,2367.6896300000003,10,254,Medium Value
14078,2617.10664,3,140,Medium Value
14081,4899.736989999999,24,262,High Value
14082,2608.94972,19,30,Medium Value
14083,7424.804580000001,44,664,High Value
14085,11204.99752,73,691,High Value
14088,10164.474970000001,51,358,High Value
14090,16.9032,1,1,Low Value
14092,3051.8975100000002,26,194,High Value
14099,6298.89977,34,383,High Value
14101,120.39921999999999,1,4,Low Value
14107,1228.80817,9,48,Medium Value
14113,644.80032,7,43,Low Value
14114,1073.88852,5,15,Medium Value
14119,22.13178,1,1,Low Value
14127,1726.77278,13,27,Medium Value
14130,11098.69274,41,180,High Value
14133,1898.4120500000001,11,46,Medium Value
14135,5262.57229,36,199,High Value
14142,3733.22204,21,40,High Value
14146,9165.805639999999,31,579,High Value
14150,645.36838,6,13,Low Value
14156,7223.24561,43,112,High Value
14159,2477.51928,22,134,Medium Value
14161,2541.67872,13,89,Medium Value
14167,1311.15816,7,175,Medium Value
14175,1825.5463800000002,7,64,Medium Value
14176,459.37734,8,15,Low Value
14180,21510.329279999998,41,1669,High Value
14185,110.8896,1,12,Low Value
14188,1098.2636499999999,8,57,Medium Value
14189,5291.259080000001,26,357,High Value
14194,3473.10028,20,52,High Value
14201,271.9092,3,6,Low Value
14205,1588.61671,9,61,Medium Value
14206,268.24,1,2,Low Value
14209,2213.32152,8,332,Medium Value
14210,3440.5777000000003,17,53,High Value
14213,98.40556000000001,2,5,Low Value
14215,3320.0394800000004,30,244,High Value
14217,927.6943200000001,11,48,Low Value
14220,799.42166,9,12,Low Value
14221,2308.3495000000003,10,266,Medium Value
14224,4001.3506500000003,22,113,High Value
14229,1680.7128,12,37,Medium Value
14233,1933.82993,12,44,Medium Value
14236,274.1973,3,23,Low Value
14237,933.07434,6,22,Low Value
14238,860.8407599999999,5,29,Low Value
14239,483.28592000000003,3,139,Low Value
14242,777.22724,5,10,Low Value
14243,3709.93573,14,131,High Value
14248,264.117,1,16,Low Value
14256,3157.2760300000004,15,77,High Value
14257,4195.37616,18,116,High Value
14258,1358.49093,10,78,Medium Value
14264,30.65638,1,2,Low Value
14270,1770.1588800000002,11,174,Medium Value
14282,974.21252,8,53,Medium Value
14290,3229.12332,12,395,High Value
14292,467.60720000000003,3,7,Low Value
14293,815.3996999999999,5,40,Low Value
14295,209.51600000000002,2,6,Low Value
14298,16363.78871,99,801,High Value
14299,3266.20038,20,129,High Value
14307,8072.63155,36,394,High Value
14309,774.06993,7,39,Low Value
14312,3248.1497999999997,9,551,High Value
14320,2817.74442,17,44,Medium Value
14321,2224.48696,16,157,Medium Value
14329,4065.70424,31,158,High Value
14334,3322.65013,17,135,High Value
14341,1830.1710600000001,12,135,Medium Value
14344,1542.62334,13,29,Medium Value
14355,1427.24526,8,100,Medium Value
14368,1576.6240000000003,8,9,Medium Value
14373,146.62796,1,4,Low Value
14388,1813.4761600000002,10,250,Medium Value
14389,714.75138,1,166,Low Value
14390,3670.8323600000003,21,39,High Value
14395,4001.67252,34,116,High Value
14396,4395.894,24,341,High Value
14401,1591.42711,12,39,Medium Value
14404,2903.79458,23,62,Medium Value
14409,2310.1374,11,26,Medium Value
14410,891.00257,6,11,Low Value
14411,555.1851399999999,8,14,Low Value
14413,2341.71336,5,107,Medium Value
14414,236.59498,4,9,Low Value
14415,10252.47952,45,384,High Value
14419,1649.0529900000001,8,47,Medium Value
14426,3543.0606000000002,24,69,High Value
14428,1048.11019,8,32,Medium Value
14437,197.34346000000002,2,5,Low Value
14438,447.41712,5,29,Low Value
14439,2992.1476000000002,17,99,Medium Value
14440,4910.2848300000005,15,280,High Value
14441,50.856899999999996,2,3,Low Value
14442,3713.3016700000003,20,251,High Value
14443,2183.0072,16,156,Medium Value
14448,722.25264,8,43,Low Value
14449,7201.60951,28,406,High Value
14450,970.2567400000001,3,44,Medium Value
14457,1347.4977999999999,1,106,Medium Value
14460,346.7862,2,3,Low Value
14462,6769.3613399999995,39,83,High Value
14466,1851.8084,11,23,Medium Value
14467,2521.6207200000003,9,193,Medium Value
14472,6021.99891,28,835,High Value
14479,430.24652,5,50,Low Value
14487,1447.42226,11,124,Medium Value
14491,553.3631,3,60,Low Value
14496,682.8861099999999,3,29,Low Value
14497,2357.12307,19,154,Medium Value
14498,700.3114400000001,6,18,Low Value
14501,991.62,4,5,Medium Value
14502,4436.8149,21,57,High Value
14505,11209.368480000001,94,511,High Value
14506,6138.01428,30,134,High Value
14514,1223.5207200000002,10,72,Medium Value
14524,968.6458,7,35,Medium Value
14525,1937.4071600000002,18,32,Medium Value
14527,16231.53276,84,955,High Value
14532,1790.15244,11,53,Medium Value
14533,1355.0409800000002,6,20,Medium Value
14534,5214.290580000001,22,85,High Value
14540,1169.54999,10,13,Medium Value
14541,12313.478720000001,42,1069,High Value
14543,2648.21389,10,22,Medium Value
14544,4828.27988,26,510,High Value
14548,324.00138000000004,2,3,Low Value
14549,5874.08439,29,445,High Value
14553,892.97922,6,30,Low Value
14560,1814.0825900000002,13,28,Medium Value
14565,1955.1353600000002,17,110,Medium Value
14572,4450.30144,43,109,High Value
14573,7865.7878200000005,36,625,High Value
14576,70.03945999999999,1,1,Low Value
14577,2465.73948,19,70,Medium Value
14587,9235.07814,57,441,High Value
14589,277.16639999999995,1,35,Low Value
14594,4871.5595,25,61,High Value
14595,705.89456,5,7,Low Value
14600,584.4935999999999,2,9,Low Value
14606,56727.870670000004,289,3127,High Value
14608,11.276959999999999,1,1,Low Value
14616,123.81000000000002,1,1,Low Value
14618,577.7505500000001,3,40,Low Value
14621,2814.7937199999997,11,1014,Medium Value
14625,2667.37928,12,119,Medium Value
14627,508.52765,4,7,Low Value
14639,2924.7233800000004,22,53,Medium Value
14643,1028.4019,10,69,Medium Value
14646,21208.308360000003,114,781,High Value
14653,2522.84722,17,176,Medium Value
14657,5128.37948,33,251,High Value
14659,5373.569280000001,21,116,High Value
14662,3803.2363200000004,18,120,High Value
14665,4498.134749999999,12,403,High Value
14667,27306.44745,71,1573,High Value
14669,6358.0689600000005,43,146,High Value
14672,2241.8844,16,168,Medium Value
14673,1371.2055799999998,7,28,Medium Value
14679,158.6729,1,1,Low Value
14680,7836.5533000000005,38,577,High Value
14684,3151.32364,24,265,High Value
14688,7021.00989,38,124,High Value
14692,5168.69268,18,48,High Value
14696,3455.73231,26,96,High Value
14701,7374.555840000001,38,277,High Value
14702,8016.81306,41,308,High Value
14708,2599.52513,8,67,Medium Value
14709,2610.3648200000002,17,103,Medium Value
14713,6936.77846,49,219,High Value
14715,502.70488,7,13,Low Value
14723,6815.9285,41,297,High Value
14729,8563.79361,42,352,High Value
14732,354.92064,5,10,Low Value
14733,10627.613790000001,72,617,High Value
14735,2735.90034,19,209,Medium Value
14737,275.36662,2,21,Low Value
14738,1889.5611200000003,9,17,Medium Value
14739,957.1593600000001,11,29,Low Value
14741,1503.34268,8,33,Medium Value
14744,1655.3242400000001,9,136,Medium Value
14748,1466.52389,19,210,Medium Value
14755,2550.48248,18,40,Medium Value
14761,899.16624,3,116,Low Value
14766,820.0372400000001,5,10,Low Value
14769,4370.1179,33,80,High Value
14770,1146.22013,9,139,Medium Value
14775,1583.51992,9,43,Medium Value
14776,2732.16184,19,31,Medium Value
14777,63.75227999999999,1,2,Low Value
14778,2295.96053,15,72,Medium Value
14779,7391.722919999999,20,643,High Value
14782,517.28724,3,11,Low Value
14784,204.103,3,12,Low Value
14794,738.10112,5,13,Low Value
14796,14384.86687,80,646,High Value
14798,926.77205,5,8,Low Value
14800,10742.273120000002,73,404,High Value
14805,2758.3720000000003,15,56,Medium Value
14810,6356.95264,24,279,High Value
14813,2657.7900000000004,25,42,Medium Value
14821,287.89000000000004,1,3,Low Value
14825,1708.59384,11,225,Medium Value
14828,322.44568000000004,3,5,Low Value
14829,4651.1841,19,47,High Value
14841,1896.17185,11,24,Medium Value
14842,138.6988,2,2,Low Value
14849,5376.602940000001,31,219,High Value
14850,1288.63617,12,30,Medium Value
14865,52.65438,1,3,Low Value
14866,20.85455,1,1,Low Value
14867,903.4424600000001,8,38,Low Value
14871,902.25536,8,35,Low Value
14878,867.10406,6,16,Low Value
14889,522.68408,7,19,Low Value
14895,77.556,1,30,Low Value
14896,3591.9370200000003,19,66,High Value
14898,1536.8925000000002,9,52,Medium Value
14901,4629.90629,25,100,High Value
14907,4539.89708,20,261,High Value
14911,51725.14647,276,2232,High Value
14913,914.9009799999999,7,30,Low Value
14916,1792.82718,7,20,Medium Value
14932,848.52049,3,53,Low Value
14944,46.33475999999999,1,2,Low Value
14952,574.07879,7,15,Low Value
14961,3213.55776,18,71,High Value
14970,1417.45216,4,113,Medium Value
14976,840.01113,10,36,Low Value
14978,4776.877880000001,29,119,High Value
14985,3931.71328,32,63,High Value
14987,343.27508,1,26,Low Value
15002,3241.8078,23,157,High Value
15005,10445.39151,70,812,High Value
15012,6193.97296,30,184,High Value
15018,301.06327999999996,1,26,Low Value
15021,3470.93415,19,538,High Value
15023,7775.98297,41,338,High Value
15024,4159.7891,19,656,High Value
15028,871.1564,7,57,Low Value
15032,2134.0898,18,191,Medium Value
15033,3640.2912,14,193,High Value
15034,6431.622780000001,35,314,High Value
15038,2402.3944,23,69,Medium Value
15039,27540.07758,148,1665,High Value
15044,8413.51606,52,594,High Value
15046,3865.07252,21,114,High Value
15048,1559.2750099999998,5,65,Medium Value
15052,3279.2195800000004,19,67,High Value
15057,2706.134,17,67,Medium Value
15058,5032.30407,33,96,High Value
15059,2389.19122,16,44,Medium Value
15061,16542.79056,80,782,High Value
15062,383.4849,7,11,Low Value
15070,541.14814,1,103,Low Value
15078,5594.420950000001,30,165,High Value
15079,3970.6656800000005,17,39,High Value
15081,472.6349,4,10,Low Value
15090,2080.02461,15,32,Medium Value
15093,3932.4591800000003,17,114,High Value
15100,904.9762400000001,6,15,Low Value
15101,235.72325999999998,4,7,Low Value
15107,1622.95458,12,80,Medium Value
15110,1886.91314,9,719,Medium Value
15111,2903.8738000000003,9,777,Medium Value
15139,299.32320000000004,4,9,Low Value
15144,3897.16464,10,782,High Value
15157,2596.80337,24,124,Medium Value
15159,7343.380220000001,51,113,High Value
15160,336.9105,3,5,Low Value
15164,484.99863,5,24,Low Value
15165,2352.09472,12,74,Medium Value
15167,2706.8431800000003,14,51,Medium Value
15171,129.45452,3,9,Low Value
15174,472.00615999999997,1,154,Low Value
15179,3933.3699000000006,26,104,High Value
15180,487.42668000000003,6,6,Low Value
15181,72.49034,2,2,Low Value
15189,1293.87436,7,81,Medium Value
15192,1042.3233200000002,9,176,Medium Value
15194,20698.58323,55,2020,High Value
15197,69.31081999999999,3,4,Low Value
15199,129.72662000000003,1,3,Low Value
15203,246.80728,6,39,Low Value
15204,308.53318,7,11,Low Value
15208,93.8223,1,3,Low Value
15211,1290.02965,8,117,Medium Value
15213,714.9472400000001,9,28,Low Value
15215,238.98392000000004,2,4,Low Value
15218,2741.6427200000003,15,253,Medium Value
15221,371.08666,5,11,Low Value
15222,941.8050000000002,5,7,Low Value
15224,368.29734,9,29,Low Value
15226,701.29552,7,10,Low Value
15227,1002.7195200000001,5,17,Medium Value
15235,7460.19466,34,557,High Value
15240,1910.93172,11,25,Medium Value
15246,281.38315,6,24,Low Value
15260,1755.9497000000001,9,22,Medium Value
15262,1499.04168,9,19,Medium Value
15266,672.5916000000001,4,7,Low Value
15270,737.41783,8,25,Low Value
15271,4111.3774300000005,16,264,High Value
15279,1873.0530600000002,7,74,Medium Value
15281,3694.64022,27,248,High Value
15288,2653.3541,10,122,Medium Value
15290,574.17486,7,23,Low Value
15291,991.80868,13,93,Medium Value
15296,5826.3129,30,211,High Value
15298,2243.03996,17,182,Medium Value
15299,370.24773,1,56,Low Value
15301,3470.21832,17,187,High Value
15304,227.02034000000003,3,5,Low Value
15311,76540.7443,291,4211,High Value
15312,716.75717,5,27,Low Value
15316,42.343999999999994,1,1,Low Value
15326,1679.10688,10,40,Medium Value
15329,104.91615,1,22,Low Value
15332,2612.16048,17,231,Medium Value
15339,5450.921060000001,32,70,High Value
15346,748.0052800000001,7,29,Low Value
15347,108.52858,2,5,Low Value
15350,589.5627400000001,3,5,Low Value
